epoch,train_loss,val_loss,train_acc,val_acc,lr
147,0.5392476348876953,0.6815320543289185,0.985,0.9264,0.016934406733817412
148,0.5384884020699395,0.6868464235305786,0.9845333333333334,0.9242,0.016349374324511327
149,0.5352612622790867,0.6909423461914063,0.9862888888888889,0.926,0.015772644703565562
150,0.5344726197772556,0.6902996133804321,0.9871555555555556,0.9252,0.015204360170384283
151,0.5306410884963142,0.6724585502624512,0.9881333333333333,0.9348,0.014644660940672625
152,0.5281207951757643,0.6880273670196533,0.9889333333333333,0.9252,0.014093685111840563
153,0.5286076118999057,0.6784709177970886,0.9888666666666667,0.9318,0.013551568628929431
154,0.5259802085134718,0.6792101596832275,0.9899333333333333,0.9238,0.013018445251069512
155,0.5227611358536615,0.6760364917755127,0.9920222222222222,0.93,0.012494446518477023
156,0.5178617718272739,0.6751149555206298,0.9937333333333334,0.9316,0.01197970171999845
157,0.5193991209242079,0.6799982870101928,0.9930666666666667,0.9316,0.01147433786121054
158,0.5202759996732076,0.6754752834320068,0.9924666666666667,0.9328,0.010978479633083519
159,0.5156445669809977,0.6785413005828858,0.9945555555555555,0.9294,0.010492249381215478
160,0.5136587118466696,0.6500801017761231,0.9957333333333334,0.9404,0.010015767075645474
161,0.5133786295466953,0.6620541383743286,0.9952666666666666,0.9362,0.009549150281252632
162,0.5126370208316379,0.6605011781692505,0.9957555555555555,0.9374,0.009092514128748834
163,0.5105619211302863,0.6486244441986084,0.9966444444444444,0.9432,0.008645971286271918
164,0.5070980332904392,0.6506229038238526,0.9978888888888889,0.9422,0.008209631931586496
165,0.5054196646796333,0.6429729011535644,0.9986222222222222,0.9468,0.007783603724899255
166,0.5048536611345079,0.6348487277984619,0.9986666666666667,0.9478,0.0073679917822954
167,0.50428210167355,0.6573998323440552,0.9991111111111111,0.9388,0.00696289864980281
168,0.5046735877884759,0.6372403326034546,0.9989111111111111,0.9484,0.006568424278090432
169,0.504086104159885,0.6412697798728942,0.9990222222222223,0.9438,0.006184665997806819
170,0.5032531799528334,0.6338021234512329,0.9995111111111111,0.9484,0.005811718495565325
171,0.5025898354212444,0.6304268591880798,0.9995777777777778,0.9516,0.005449673790581609
172,0.5026191910425822,0.6328917785644531,0.9995555555555555,0.9488,0.005098621211969222
173,0.502575015979343,0.6359782718658448,0.9995111111111111,0.9468,0.004758647376699031
174,0.5020367408222622,0.6318933795928955,0.9997555555555555,0.9492,0.0044298361682277455
175,0.5021970174047682,0.633513570690155,0.9997111111111111,0.9492,0.004112268715800953
176,0.5016757527563307,0.6256654676437378,0.9999111111111111,0.9524,0.003806023374435673
177,0.5017532388475207,0.6247879863739013,0.9997777777777778,0.953,0.0035111757055874314
178,0.5013969542927212,0.6248984490394592,0.9999555555555556,0.9508,0.0032277984585066303
179,0.501384604687161,0.6266502269744874,0.9999333333333333,0.9528,0.0029559615522887265
180,0.5014371650589837,0.6260597101211548,0.9998666666666667,0.9512,0.0026957320586227344
181,0.5012913127051459,0.6228361663818359,0.9999555555555556,0.952,0.0024471741852423227
182,0.5013126081572639,0.6244608616828918,0.9999111111111111,0.9514,0.0022103492600834933
183,0.5013147112952339,0.6251209836959839,0.9999555555555556,0.9512,0.0019853157161528515
184,0.5012389271630181,0.6234941110610962,0.9999555555555556,0.9518,0.001772129077110101
185,0.5012511231104533,0.6249484872817993,0.9999333333333333,0.9512,0.0015708419435684511
